name,year,fg3,fg3a,fg3_pct
Álex Abrines,0,94.0,247.0,0.381
Álex Abrines,1,84.0,221.0,0.38
Álex Abrines,2,41.0,127.0,0.323
Quincy Acy,2,18.0,60.0,0.3
Quincy Acy,3,19.0,49.0,0.388
Quincy Acy,4,37.0,90.0,0.411
Quincy Acy,5,102.0,292.0,0.349
Arron Afflalo,0,10.0,48.0,0.208
Arron Afflalo,1,43.0,107.0,0.402
Arron Afflalo,2,108.0,249.0,0.434
Arron Afflalo,3,105.0,248.0,0.423
Arron Afflalo,4,88.0,221.0,0.398
Arron Afflalo,5,72.0,240.0,0.3
Arron Afflalo,6,128.0,300.0,0.427
Arron Afflalo,7,118.0,333.0,0.354
Arron Afflalo,8,91.0,238.0,0.382
Arron Afflalo,9,62.0,151.0,0.411
Arron Afflalo,10,27.0,70.0,0.386
LaMarcus Aldridge,2,7.0,28.0,0.25
LaMarcus Aldridge,8,37.0,105.0,0.352
LaMarcus Aldridge,10,23.0,56.0,0.411
LaMarcus Aldridge,11,27.0,92.0,0.293
LaMarcus Aldridge,12,10.0,42.0,0.238
LaMarcus Aldridge,13,61.0,157.0,0.389
LaMarcus Aldridge,14,31.0,80.0,0.388
LaMarcus Aldridge,15,14.0,46.0,0.304
Nickeil Alexander-Walker,0,46.0,133.0,0.346
Nickeil Alexander-Walker,1,76.0,219.0,0.347
Nickeil Alexander-Walker,2,105.0,338.0,0.311
Grayson Allen,0,32.0,99.0,0.323
Grayson Allen,1,57.0,141.0,0.404
Grayson Allen,2,107.0,274.0,0.391
Grayson Allen,3,159.0,389.0,0.409
Tony Allen,0,12.0,31.0,0.387
Tony Allen,1,11.0,34.0,0.324
Tony Allen,2,8.0,33.0,0.242
Tony Allen,3,18.0,57.0,0.316
Tony Allen,4,6.0,27.0,0.222
Tony Allen,7,8.0,26.0,0.308
Tony Allen,9,11.0,47.0,0.234
Tony Allen,10,10.0,29.0,0.345
Tony Allen,11,15.0,42.0,0.357
Tony Allen,12,15.0,54.0,0.278
Rafer Alston,1,8.0,30.0,0.267
Rafer Alston,2,27.0,71.0,0.38
Rafer Alston,3,51.0,130.0,0.392
Rafer Alston,4,161.0,434.0,0.371
Rafer Alston,5,139.0,389.0,0.357
Rafer Alston,6,102.0,312.0,0.327
Rafer Alston,7,192.0,529.0,0.363
Rafer Alston,8,143.0,407.0,0.351
Rafer Alston,9,112.0,331.0,0.338
Rafer Alston,10,58.0,168.0,0.345
Al-Farouq Aminu,0,45.0,143.0,0.315
Al-Farouq Aminu,1,13.0,47.0,0.277
Al-Farouq Aminu,3,13.0,48.0,0.271
Al-Farouq Aminu,4,34.0,124.0,0.274
Al-Farouq Aminu,5,126.0,349.0,0.361
Al-Farouq Aminu,6,70.0,212.0,0.33
Al-Farouq Aminu,7,125.0,339.0,0.369
Al-Farouq Aminu,8,96.0,280.0,0.343
Al-Farouq Aminu,9,9.0,36.0,0.25
Al-Farouq Aminu,10,8.0,37.0,0.216
Alan Anderson,0,24.0,58.0,0.414
Alan Anderson,6,24.0,61.0,0.393
Alan Anderson,7,95.0,285.0,0.333
Alan Anderson,8,84.0,248.0,0.339
Alan Anderson,9,73.0,210.0,0.348
Alan Anderson,10,12.0,37.0,0.324
Alan Anderson,11,14.0,44.0,0.318
James Anderson,0,18.0,46.0,0.391
James Anderson,1,19.0,68.0,0.279
James Anderson,2,21.0,60.0,0.35
James Anderson,3,115.0,351.0,0.328
James Anderson,5,23.0,86.0,0.267
Justin Anderson,0,22.0,83.0,0.265
Justin Anderson,1,58.0,194.0,0.299
Justin Anderson,2,34.0,103.0,0.33
Justin Anderson,3,24.0,77.0,0.312
Justin Anderson,4,6.0,29.0,0.207
Justin Anderson,6,15.0,59.0,0.254
Kyle Anderson,1,12.0,37.0,0.324
Kyle Anderson,2,15.0,40.0,0.375
Kyle Anderson,3,19.0,57.0,0.333
Kyle Anderson,4,9.0,34.0,0.265
Kyle Anderson,5,24.0,85.0,0.282
Kyle Anderson,6,94.0,261.0,0.36
Kyle Anderson,7,36.0,109.0,0.33
Ryan Anderson,0,69.0,189.0,0.365
Ryan Anderson,1,78.0,211.0,0.37
Ryan Anderson,2,134.0,341.0,0.393
Ryan Anderson,3,166.0,422.0,0.393
Ryan Anderson,4,213.0,557.0,0.382
Ryan Anderson,5,67.0,164.0,0.409
Ryan Anderson,6,122.0,359.0,0.34
Ryan Anderson,7,131.0,358.0,0.366
Ryan Anderson,8,204.0,506.0,0.403
Ryan Anderson,9,131.0,339.0,0.386
Ryan Anderson,10,9.0,40.0,0.225
Giannis Antetokounmpo,0,41.0,118.0,0.347
Giannis Antetokounmpo,1,7.0,44.0,0.159
Giannis Antetokounmpo,2,28.0,109.0,0.257
Giannis Antetokounmpo,3,49.0,180.0,0.272
Giannis Antetokounmpo,4,43.0,140.0,0.307
Giannis Antetokounmpo,5,52.0,203.0,0.256
Giannis Antetokounmpo,6,89.0,293.0,0.304
Giannis Antetokounmpo,7,67.0,221.0,0.303
Giannis Antetokounmpo,8,71.0,242.0,0.293
Carmelo Anthony,0,69.0,214.0,0.322
Carmelo Anthony,1,42.0,158.0,0.266
Carmelo Anthony,2,37.0,152.0,0.243
Carmelo Anthony,3,40.0,149.0,0.268
Carmelo Anthony,4,58.0,164.0,0.354
Carmelo Anthony,5,63.0,170.0,0.371
Carmelo Anthony,6,59.0,187.0,0.316
Carmelo Anthony,7,95.0,251.0,0.378
Carmelo Anthony,8,68.0,203.0,0.335
Carmelo Anthony,9,157.0,414.0,0.379
Carmelo Anthony,10,167.0,415.0,0.402
Carmelo Anthony,11,61.0,179.0,0.341
Carmelo Anthony,12,105.0,310.0,0.339
Carmelo Anthony,13,151.0,421.0,0.359
Carmelo Anthony,14,169.0,474.0,0.357
Carmelo Anthony,15,21.0,64.0,0.328
Carmelo Anthony,16,87.0,226.0,0.385
Carmelo Anthony,17,133.0,325.0,0.409
Carmelo Anthony,18,149.0,397.0,0.375
Cole Anthony,0,58.0,172.0,0.337
Cole Anthony,1,132.0,391.0,0.338
Pero Antić,0,56.0,171.0,0.327
Pero Antić,1,52.0,173.0,0.301
OG Anunoby,0,73.0,197.0,0.371
OG Anunoby,1,67.0,202.0,0.332
OG Anunoby,2,89.0,228.0,0.39
OG Anunoby,3,104.0,261.0,0.398
OG Anunoby,4,115.0,317.0,0.363
Ryan Arcidiacono,0,9.0,31.0,0.29
Ryan Arcidiacono,1,81.0,217.0,0.373
Ryan Arcidiacono,2,54.0,138.0,0.391
Ryan Arcidiacono,3,25.0,67.0,0.373
Gilbert Arenas,0,39.0,113.0,0.345
Gilbert Arenas,1,109.0,313.0,0.348
